Pole ID,Pole Latitude,Pole Longitude,Pole Type
CHIBOUGAMAU 2E , 49.9144011,-74.3549544,Generic wooden pole
CHIBOUGAMAU 3E PHA324, 49.9139588,-74.3573810,Generic wooden pole
CHIBOUGAMAU 2E PHA376, 49.9142735,-74.3592016,Generic wooden pole
CHIBOUGAMAU 2E PHA450, 49.9143274,-74.3617499,Generic wooden pole
CHIBOUGAMAU 2E PHA564, 49.9142880,-74.3648696,Generic wooden pole
CHIBOUGAMAU 3E , 49.9138489,-74.3653713,Generic wooden pole
CHIBOUGAMAU 4E PHA571, 49.9129309,-74.3653739,Generic wooden pole
CHIBOUGAMAU 4E PHA541, 49.9129386,-74.3642869,Generic wooden pole
CHIBOUGAMAU 4E PHA361, 49.9129979,-74.3583802,Generic wooden pole
CHIBOUGAMAU 3E PHA136, 49.9129019,-74.3593469,Generic wooden pole
CHIBOUGAMAU 5E PHA467, 49.9120863,-74.3620144,Generic wooden pole
CHIBOUGAMAU 4E PHA426, 49.9124701,-74.3610256,Generic wooden pole
CHIBOUGAMAU 3E PHA402, 49.9125089,-74.3600599,Generic wooden pole
CHIBOUGAMAU 4E PHA402, 49.9125089,-74.3600599,Generic wooden pole
CHIBOUGAMAU 5E , 49.9121757,-74.3600082,Generic wooden pole
CHIBOUGAMAU 4E PHD442, 49.9125910,-74.3611060,Generic wooden pole
CHIBOUGAMAU 4E PHA424, 49.9125119,-74.3606067,Generic wooden pole
CHIBOUGAMAU 5E PHD445, 49.9120469,-74.3608134,Generic wooden pole
CHIBOUGAMAU 4E , 49.9125522,-74.3601774,Generic wooden pole
CHIBOUGAMAU 5E PHA346, 49.9121168,-74.3578753,Generic wooden pole
CHIBOUGAMAU 5E PHA366, 49.9121111,-74.3586377,Generic wooden pole
CHIBOUGAMAU 4E PHA366, 49.9125296,-74.3588051,Generic wooden pole
CHIBOUGAMAU 3E PHA386, 49.9121177,-74.3593478,Generic wooden pole
CHIBOUGAMAU 6E PHA409, 49.9113032,-74.3601871,Generic wooden pole
CHIBOUGAMAU 5E PHA462, 49.9116443,-74.3615803,Generic wooden pole
CHIBOUGAMAU 5E PHC106+1, 49.9116730,-74.3658646,Generic wooden pole
CHIBOUGAMAU 6E PHA551, 49.9112888,-74.3645104,Generic wooden pole
CHIBOUGAMAU 6E , 49.9106609,-74.3793072,Generic wooden pole
CHIBOUGAMAU DU GOLF PHC837, 49.9123940,-74.3784242,Generic wooden pole
CHIBOUGAMAU 4E PHC837, 49.9123940,-74.3784242,Generic wooden pole
CHIBOUGAMAU HAMEL PTD960, 49.9054830,-74.3839625,Generic wooden pole
CHIBOUGAMAU 3E PHD981, 49.9056868,-74.3878149,Generic wooden pole
CHIBOUGAMAU HAMEL PHD981, 49.9056868,-74.3878149,Generic wooden pole
CHIBOUGAMAU 3E PHC959, 49.9065770,-74.3861886,Generic wooden pole
CHIBOUGAMAU 3E PHA943-4, 49.9082132,-74.3865839,Generic wooden pole
CHIBOUGAMAU 3E PHA953+3, 49.9072333,-74.3864398,Generic wooden pole
CHIBOUGAMAU MOISAN PHA945, 49.9186790,-74.3832574,Generic wooden pole
CHIBOUGAMAU MOISAN PHA866+3, 49.9142079,-74.3850482,Generic wooden pole
CHIBOUGAMAU LAFRAMBOISE PHA431, 49.9246749,-74.3615952,Generic wooden pole
CHIBOUGAMAU DAVID PHA431, 49.9246749,-74.3615952,Generic wooden pole
CHIBOUGAMAU PERREAULT PHA870+2, 49.9139948,-74.3877100,Generic wooden pole
CHIBOUGAMAU DUMAS PHA842, 49.9140467,-74.3784679,Generic wooden pole
